# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=581012, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=1000, output_file='Covertype_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
57999,0.921505,0.940000,0.866661,0.869367,5671.269993,602.147998,6273.417991,0.173153
58999,0.921956,0.948000,0.867153,0.891000,5752.256063,611.920800,6364.176863,0.174776
59999,0.922625,0.962000,0.868105,0.922011,5839.730653,622.970527,6462.701179,0.176744
60999,0.923421,0.971000,0.869054,0.935526,5927.709499,634.287454,6561.996953,0.179232
61999,0.923544,0.931000,0.868845,0.845020,5991.295055,641.893507,6633.188562,0.181102
62999,0.923328,0.910000,0.867968,0.785797,6059.553762,649.192450,6708.746212,0.182513
63999,0.923464,0.932000,0.867837,0.850184,6141.329353,658.028429,6799.357783,0.184339
64999,0.923657,0.936000,0.867846,0.861112,6226.789226,667.360504,6894.149731,0.186345
65999,0.923936,0.942000,0.867953,0.870492,6306.640638,676.200750,6982.841388,0.188373
66999,0.924401,0.955000,0.868297,0.893167,6393.555681,686.617316,7080.172997,0.190878
67999,0.925088,0.971000,0.868879,0.919936,6469.768520,696.047600,7165.816120,0.192875
68999,0.925814,0.975000,0.869484,0.925309,6525.462290,702.770186,7228.232476,0.194375
69999,0.926705,0.988000,0.870346,0.961015,6592.696128,711.322693,7304.018821,0.195954
70999,0.927218,0.963000,0.870751,0.904910,6661.486440,720.029191,7381.515631,0.197366
71999,0.927284,0.932000,0.870588,0.850988,6726.955271,727.408358,7454.363629,0.198771
72999,0.927390,0.935000,0.870525,0.862468,6787.042481,733.499601,7520.542081,0.199955
73999,0.927425,0.930000,0.870188,0.832757,6876.389672,743.373120,7619.762791,0.201768
74999,0.927487,0.932000,0.869925,0.840602,6977.425400,754.649016,7732.074416,0.204481
75999,0.927665,0.941000,0.869651,0.821270,7079.569530,766.217312,7845.786842,0.207496
76999,0.927526,0.917000,0.868715,0.705907,7184.153650,777.801924,7961.955574,0.211238
77999,0.927956,0.961000,0.868811,0.859700,7285.425908,789.431011,8074.856919,0.215577
78999,0.928477,0.969000,0.869190,0.906077,7389.011800,801.249262,8190.261063,0.220685
79999,0.928847,0.958000,0.869243,0.859128,7496.742550,813.095251,8309.837801,0.226388
80999,0.929097,0.949000,0.869123,0.838738,7613.296040,825.046749,8438.342789,0.233076
81999,0.929670,0.976000,0.869665,0.929629,7727.885886,837.080058,8564.965944,0.240382
82999,0.930254,0.978000,0.870234,0.934831,7843.737046,849.370705,8693.107751,0.247902
83999,0.930680,0.966000,0.870407,0.877208,7958.802264,861.626420,8820.428684,0.255797
84999,0.930790,0.940000,0.870043,0.800834,8083.694348,873.941250,8957.635598,0.264420
85999,0.930816,0.933000,0.869618,0.805775,8193.151440,884.655823,9077.807263,0.268302
86999,0.931152,0.960000,0.869814,0.888103,8276.735384,894.145215,9170.880599,0.271405
87999,0.930923,0.911000,0.868886,0.729510,8385.144245,905.253620,9290.397865,0.276206
88999,0.931194,0.955000,0.868785,0.826867,8482.406510,915.934375,9398.340885,0.279855
89999,0.931414,0.951000,0.868648,0.830368,8547.769070,922.920504,9470.689574,0.282214
90999,0.931476,0.937000,0.868243,0.792591,8629.254792,931.894488,9561.149280,0.285253
91999,0.931906,0.971000,0.868312,0.812831,8723.894774,942.873139,9666.767914,0.289323
92999,0.932403,0.978000,0.868522,0.858574,8815.629779,953.987576,9769.617355,0.293364
93999,0.932878,0.977000,0.868664,0.820026,8908.200466,965.143745,9873.344211,0.297547
94999,0.933376,0.980000,0.868855,0.838041,9005.097656,976.446975,9981.544631,0.301972
95999,0.933633,0.958000,0.868652,0.751794,9094.913605,986.132434,10081.046039,0.306220
96999,0.933781,0.948000,0.868324,0.766513,9168.264776,994.014559,10162.279335,0.308927
97999,0.933834,0.939000,0.867856,0.753695,9227.549094,1000.083478,10227.632573,0.311258
98999,0.933998,0.950000,0.867728,0.837778,9293.193978,1006.536218,10299.730196,0.313913
99999,0.934108,0.945000,0.867501,0.821289,9400.249058,1017.918548,10418.167605,0.318820
100999,0.934306,0.954000,0.867571,0.873261,9512.637746,1029.669240,10542.306986,0.324415
101999,0.934725,0.977000,0.868180,0.942327,9623.297031,1041.564283,10664.861314,0.330325
102999,0.934971,0.960000,0.868424,0.897646,9735.791301,1053.484300,10789.275601,0.337018
103999,0.935222,0.961000,0.868688,0.900664,9851.571497,1065.814704,10917.386200,0.343884
104999,0.935372,0.951000,0.868815,0.882274,9969.396265,1078.295563,11047.691828,0.351580
105999,0.935747,0.975000,0.869163,0.918948,10074.337546,1089.488687,11163.826234,0.358344
106999,0.935918,0.954000,0.869113,0.853001,10169.707550,1100.344447,11270.051997,0.362442
107999,0.935891,0.933000,0.868682,0.791479,10273.039466,1112.004252,11385.043718,0.366941
108999,0.936131,0.962000,0.868747,0.869216,10374.915773,1123.888666,11498.804439,0.371883
109999,0.936466,0.973000,0.868956,0.893914,10476.391736,1135.880001,11612.271737,0.377078
110999,0.936886,0.983000,0.869315,0.927781,10576.678097,1147.926287,11724.604384,0.382529
111999,0.937147,0.966000,0.869321,0.842194,10681.168082,1160.032108,11841.200190,0.388574
112999,0.937376,0.963000,0.869298,0.841147,10791.552877,1172.148871,11963.701748,0.395379
113999,0.937522,0.954000,0.869070,0.778430,10904.917583,1184.379880,12089.297463,0.402131
114999,0.937683,0.956000,0.868877,0.788549,11020.125758,1196.609171,12216.734928,0.409180
115999,0.937910,0.964000,0.868887,0.853468,11135.844259,1208.911947,12344.756205,0.416576
116999,0.937808,0.926000,0.868355,0.775522,11216.243218,1216.890298,12433.133517,0.421554
117999,0.937530,0.905000,0.867268,0.577590,11295.676665,1224.524640,12520.201306,0.424218
118999,0.937525,0.937000,0.866794,0.741867,11394.889055,1235.258277,12630.147332,0.427955
119999,0.937421,0.925000,0.866296,0.782646,11483.349160,1244.547194,12727.896355,0.430739
120999,0.937194,0.910000,0.865562,0.747713,11584.007429,1255.387555,12839.394984,0.434138
121999,0.937110,0.927000,0.865348,0.833131,11689.038445,1266.853661,12955.892107,0.438094
122999,0.936971,0.920000,0.864882,0.794686,11797.742460,1278.513319,13076.255780,0.442577
123999,0.936987,0.939000,0.864693,0.832585,11907.946663,1290.285789,13198.232452,0.447589
124999,0.936963,0.934000,0.864355,0.802120,12019.390601,1302.066771,13321.457372,0.453095
125999,0.936868,0.925000,0.863940,0.796368,12133.387662,1313.998517,13447.386180,0.459477
126999,0.936822,0.931000,0.863615,0.808866,12249.944844,1326.049572,13575.994417,0.466833
127999,0.936737,0.926000,0.863263,0.807535,12371.818830,1338.239987,13710.058817,0.475661
128999,0.936770,0.941000,0.863068,0.825549,12497.605208,1350.459689,13848.064897,0.485688
129999,0.936810,0.942000,0.862803,0.800171,12625.103967,1362.703222,13987.807190,0.496575
130999,0.937118,0.977000,0.862983,0.886610,12746.519734,1374.923701,14121.443435,0.507212
131999,0.937375,0.971000,0.863072,0.862398,12843.463372,1384.890360,14228.353731,0.515851
132999,0.937500,0.954000,0.862998,0.838868,12917.238134,1392.815918,14310.054052,0.519261
133999,0.937601,0.951000,0.862864,0.824732,12995.491675,1401.268279,14396.759954,0.522815
134999,0.937715,0.953000,0.862674,0.788745,13095.610764,1412.122002,14507.732766,0.527232
135999,0.937901,0.963000,0.862726,0.861668,13200.532512,1423.483134,14624.015646,0.531932
136999,0.937917,0.940000,0.862435,0.790625,13311.170132,1435.310648,14746.480781,0.537527
137999,0.938091,0.962000,0.862493,0.865433,13420.201762,1447.306053,14867.507815,0.543656
138999,0.938163,0.948000,0.862299,0.805167,13531.862226,1459.413955,14991.276181,0.550115
139999,0.938176,0.940000,0.861933,0.745644,13644.152995,1471.629799,15115.782794,0.556870
140999,0.938075,0.924000,0.861398,0.735612,13764.497941,1484.020337,15248.518279,0.564833
141999,0.938004,0.928000,0.860956,0.763051,13889.467938,1496.335669,15385.803608,0.572755
142999,0.938109,0.953000,0.860952,0.856658,13962.282919,1503.671507,15465.954426,0.575888
143999,0.938261,0.960000,0.861153,0.893733,14032.079832,1510.718704,15542.798536,0.578895
144999,0.938439,0.964000,0.861433,0.906498,14093.422170,1517.041952,15610.464122,0.581728
145999,0.938512,0.949000,0.861532,0.874612,14191.917093,1527.808601,15719.725694,0.586397
146999,0.938699,0.966000,0.862048,0.925969,14295.967407,1539.330211,15835.297618,0.590903
147999,0.938965,0.978000,0.862790,0.953363,14354.599966,1545.620752,15900.220718,0.593595
148999,0.939106,0.960000,0.863354,0.918540,14438.138341,1554.898978,15993.037320,0.597177
149999,0.939292,0.967000,0.864101,0.933865,14536.312454,1566.306629,16102.619083,0.601337
150999,0.939589,0.984000,0.865260,0.967450,14630.996857,1578.056260,16209.053117,0.605511
151999,0.939565,0.936000,0.865281,0.861063,14723.600221,1588.917601,16312.517822,0.609045
152999,0.939777,0.972000,0.865664,0.929625,14782.959099,1595.105833,16378.064931,0.611493
153999,0.940033,0.979000,0.866167,0.948527,14843.243159,1601.292497,16444.535656,0.614176
154999,0.940200,0.966000,0.866521,0.920395,14918.383781,1609.603524,16527.987304,0.617458
155999,0.940398,0.971000,0.867024,0.936487,15011.841307,1620.974324,16632.815631,0.621604
156999,0.940580,0.969000,0.867513,0.933094,15109.174332,1632.541956,16741.716289,0.626438
157999,0.940817,0.978000,0.868090,0.951455,15206.894313,1644.209457,16851.103770,0.631574
158999,0.940781,0.935000,0.868118,0.862370,15314.164344,1656.245560,16970.409905,0.637393
159999,0.940738,0.934000,0.868138,0.860675,15385.700706,1663.644307,17049.345012,0.641152
160999,0.940628,0.923000,0.867956,0.832859,15461.556674,1671.224614,17132.781288,0.644387
161999,0.940643,0.943000,0.868104,0.880056,15553.955514,1680.808281,17234.763795,0.647319
162999,0.940731,0.955000,0.868360,0.902167,15656.760866,1692.062855,17348.823721,0.651074
163999,0.940653,0.928000,0.868158,0.830817,15762.277569,1703.680561,17465.958130,0.655323
164999,0.940534,0.921000,0.867811,0.802636,15875.365108,1715.410536,17590.775644,0.660042
165999,0.940476,0.931000,0.867701,0.845027,15990.837745,1727.380924,17718.218669,0.665719
166999,0.940504,0.945000,0.867927,0.887240,16096.702895,1738.539915,17835.242810,0.669500
167999,0.940608,0.958000,0.868214,0.908650,16198.573720,1749.999916,17948.573636,0.673429
168999,0.940818,0.976000,0.868730,0.947667,16295.280693,1761.709638,18056.990331,0.677788
169999,0.940901,0.955000,0.868878,0.893562,16381.594021,1771.435756,18153.029778,0.680976
170999,0.940966,0.952000,0.868950,0.881414,16475.173719,1782.274140,18257.447859,0.684855
171999,0.940995,0.946000,0.868916,0.861359,16579.486458,1794.094723,18373.581181,0.689603
172999,0.941047,0.950000,0.869070,0.892487,16648.225910,1801.131419,18449.357329,0.692850
173999,0.941191,0.966000,0.869371,0.921975,16709.355493,1807.514829,18516.870321,0.695966
174999,0.941241,0.950000,0.869620,0.901630,16772.577045,1813.949282,18586.526327,0.699431
175999,0.941098,0.916000,0.869439,0.835062,16856.629841,1822.314523,18678.944364,0.703486
176999,0.941063,0.935000,0.869561,0.877750,16930.098440,1829.772422,18759.870863,0.706929
