# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=45312, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=50, output_file='Electricity_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
2999,0.876786,0.980000,0.740687,0.878049,158.225721,14.994654,173.220375,0.001413
3049,0.877544,0.920000,0.743081,0.835796,161.630891,15.286088,176.916979,0.001470
3099,0.875172,0.740000,0.739040,0.469821,165.436282,15.579839,181.016120,0.001535
3149,0.871525,0.660000,0.731377,0.362819,169.466404,15.872895,185.339299,0.001604
3199,0.872000,0.900000,0.731956,0.760077,172.948607,16.156084,189.104691,0.001665
3249,0.871803,0.860000,0.732226,0.720000,176.828205,16.442570,193.270775,0.001734
3299,0.872903,0.940000,0.734934,0.880383,180.289357,16.726572,197.015929,0.001798
3349,0.874603,0.980000,0.738727,0.959872,183.193512,17.008925,200.202436,0.001852
3399,0.875000,0.900000,0.740709,0.736842,186.549211,17.301468,203.850679,0.001915
3449,0.873538,0.780000,0.738428,0.540902,190.719488,17.598480,208.317968,0.001993
3499,0.875152,0.980000,0.742288,0.958678,193.961057,17.880433,211.841490,0.002055
3549,0.876716,0.980000,0.744717,0.911661,195.962655,18.128552,214.091206,0.002095
3599,0.877647,0.940000,0.745532,0.000000,197.846015,18.362400,216.208415,0.002131
3649,0.877101,0.840000,0.743592,0.369085,200.373098,18.605247,218.978345,0.002179
3699,0.877714,0.920000,0.743993,0.626866,202.690256,18.848121,221.538378,0.002224
3749,0.878310,0.920000,0.744153,0.310345,204.740200,19.085912,223.826112,0.002264
3799,0.876111,0.720000,0.738764,0.090909,207.792938,19.331599,227.124537,0.002321
3849,0.876986,0.940000,0.740693,0.876442,211.051773,19.594678,230.646451,0.002382
3899,0.878108,0.960000,0.743299,0.919485,214.765837,19.868616,234.634453,0.002449
3949,0.879200,0.960000,0.745383,0.908257,216.756576,20.045526,236.802102,0.002468
3999,0.880263,0.960000,0.747794,0.918963,218.236241,20.181272,238.417513,0.002482
4049,0.880000,0.860000,0.747008,0.680073,220.128661,20.319825,240.448486,0.002500
4099,0.879487,0.840000,0.745733,0.642857,222.185552,20.463723,242.649275,0.002520
4149,0.880000,0.920000,0.746177,0.731903,223.614599,20.591984,244.206583,0.002534
4199,0.880750,0.940000,0.747286,0.831461,225.240019,20.725551,245.965569,0.002549
4249,0.879753,0.800000,0.744744,0.480249,226.977926,20.856925,247.834850,0.002566
4299,0.880488,0.940000,0.745177,0.000000,227.924191,20.977128,248.901320,0.002576
4349,0.880241,0.860000,0.743986,0.520548,229.367121,21.099860,250.466981,0.002591
4399,0.879762,0.840000,0.743332,0.684044,231.855876,21.243755,253.099631,0.002615
4449,0.880471,0.940000,0.745014,0.878049,234.096908,21.389118,255.486027,0.002638
4499,0.881163,0.940000,0.747517,0.854932,236.182297,21.542291,257.724587,0.002660
4549,0.880230,0.800000,0.746467,0.537893,238.477588,21.695442,260.173030,0.002684
4599,0.877727,0.660000,0.741447,0.390244,241.064671,21.845364,262.910035,0.002712
4649,0.877528,0.860000,0.741093,0.713584,243.663849,21.994051,265.657900,0.002740
4699,0.877556,0.880000,0.740515,0.558824,245.763116,22.138782,267.901898,0.002764
4749,0.878242,0.940000,0.742335,0.880000,247.796992,22.286254,270.083246,0.002787
4799,0.878913,0.940000,0.744048,0.880000,249.832207,22.432982,272.265189,0.002811
4849,0.879355,0.920000,0.744374,0.703264,251.611784,22.574680,274.186463,0.002832
4899,0.879362,0.880000,0.743728,0.516129,253.325419,22.714773,276.040193,0.002852
4949,0.879579,0.900000,0.743611,0.651811,255.460927,22.857197,278.318123,0.002877
4999,0.878750,0.800000,0.741817,0.584027,257.633570,23.001224,280.634794,0.002902
5049,0.878351,0.840000,0.741898,0.615385,259.789556,23.149040,282.938596,0.002927
5099,0.875714,0.620000,0.736465,0.330042,262.662996,23.304449,285.967446,0.002962
5149,0.875556,0.860000,0.735997,0.686941,265.290739,23.459161,288.749901,0.002993
5199,0.874800,0.800000,0.735025,0.581940,267.558884,23.614454,291.173337,0.003022
5249,0.874653,0.860000,0.734367,0.626866,270.200046,23.766778,293.966824,0.003055
5299,0.875098,0.920000,0.735045,0.801980,272.256904,23.910750,296.167654,0.003081
5349,0.873398,0.700000,0.731379,0.400000,274.604482,24.054381,298.658863,0.003112
5399,0.872885,0.820000,0.731103,0.584104,277.646510,24.206040,301.852550,0.003151
5449,0.872381,0.820000,0.730015,0.621849,279.878236,24.352573,304.230808,0.003181
5499,0.873585,1.000000,0.731637,1.000000,281.019739,24.484766,305.504505,0.003197
5549,0.873645,0.880000,0.731465,0.693878,282.693862,24.625392,307.319253,0.003220
5599,0.873889,0.900000,0.732818,0.757282,284.927087,24.777774,309.704861,0.003251
5649,0.872661,0.740000,0.730462,0.512744,287.795422,24.926115,312.721537,0.003290
5699,0.872909,0.900000,0.731671,0.776386,290.100483,25.075944,315.176427,0.003322
5749,0.870991,0.660000,0.728037,0.379562,292.986186,25.231044,318.217231,0.003363
5799,0.868750,0.620000,0.723678,0.330042,296.198987,25.388274,321.587261,0.003409
5849,0.867965,0.780000,0.722256,0.564184,299.801992,25.580325,325.382317,0.003461
5899,0.868947,0.980000,0.724098,0.951456,303.629511,25.840039,329.469550,0.003519
5949,0.869391,0.920000,0.724881,0.817518,307.098709,26.097164,333.195873,0.003574
5999,0.869655,0.900000,0.725400,0.787776,310.755077,26.357815,337.112891,0.003632
6049,0.870427,0.960000,0.727623,0.910873,314.115443,26.624408,340.739851,0.003687
6099,0.870678,0.900000,0.728529,0.796748,318.236898,26.896247,345.133145,0.003755
6149,0.870756,0.880000,0.729040,0.758065,321.988474,27.169159,349.157633,0.003818
6199,0.871000,0.900000,0.729869,0.798712,325.922540,27.445931,353.368471,0.003886
6249,0.869917,0.740000,0.727906,0.499230,330.171935,27.723073,357.895008,0.003960
6299,0.870000,0.880000,0.727492,0.358974,334.323939,27.995753,362.319692,0.004034
6349,0.868943,0.740000,0.725316,0.497682,339.094067,28.271323,367.365390,0.004121
6399,0.869516,0.940000,0.726824,0.879227,342.952744,28.547849,371.500592,0.004193
6449,0.870560,1.000000,0.728828,1.000000,346.474271,28.824299,375.298570,0.004260
6499,0.870635,0.880000,0.728338,0.000000,349.667356,29.096556,378.763911,0.004322
6549,0.869291,0.700000,0.725164,0.203822,353.560856,29.372311,382.933167,0.004397
6599,0.869531,0.900000,0.725473,0.760077,357.963279,29.653823,387.617102,0.004483
6649,0.869302,0.840000,0.725298,0.686028,362.733481,29.931183,392.664664,0.004578
6699,0.869846,0.940000,0.726979,0.864376,366.742038,30.208521,396.950559,0.004660
6749,0.870687,0.980000,0.728587,0.953271,370.695269,30.493357,401.188626,0.004742
6799,0.871364,0.960000,0.729497,0.811321,374.307354,30.779498,405.086852,0.004819
6849,0.870977,0.820000,0.728845,0.650078,378.403665,31.066487,409.470152,0.004906
6899,0.871642,0.960000,0.729656,0.728261,382.417865,31.358081,413.775946,0.004993
6949,0.871407,0.840000,0.729569,0.675325,386.635819,31.643092,418.278912,0.005085
6999,0.871324,0.860000,0.729537,0.721781,391.448146,31.923718,423.371864,0.005190
7049,0.871241,0.860000,0.728852,0.319066,395.201610,32.209302,427.410912,0.005275
7099,0.870145,0.720000,0.727129,0.353050,399.973911,32.493278,432.467189,0.005383
7149,0.870072,0.860000,0.726714,0.631579,404.911168,32.784832,437.696000,0.005496
7199,0.868000,0.580000,0.722382,0.255319,410.254410,33.075091,443.329502,0.005620
7249,0.868227,0.900000,0.722976,0.800000,415.393101,33.363525,448.756626,0.005741
7299,0.867606,0.780000,0.721827,0.572317,420.747747,33.644781,454.392528,0.005869
7349,0.867832,0.900000,0.722911,0.749499,425.810466,33.919527,459.729993,0.005992
7399,0.867778,0.860000,0.723399,0.636175,429.747551,34.196320,463.943872,0.006091
7449,0.865931,0.600000,0.719570,0.190939,435.984225,34.486582,470.470807,0.006245
7499,0.866027,0.880000,0.719712,0.739583,440.529568,34.774315,475.303883,0.006361
7549,0.865714,0.820000,0.719288,0.642289,446.078600,35.067363,481.145963,0.006503
7599,0.865946,0.900000,0.720019,0.800000,450.563825,35.351468,485.915293,0.006620
7649,0.865906,0.860000,0.720403,0.672897,455.687941,35.635087,491.323028,0.006755
7699,0.866267,0.920000,0.721525,0.827586,460.280408,35.921379,496.201786,0.006879
7749,0.866623,0.920000,0.722568,0.833333,464.607601,36.206711,500.814311,0.006997
7799,0.865000,0.620000,0.719575,0.261275,469.631325,36.493451,506.124777,0.007132
7849,0.865229,0.900000,0.720346,0.792013,474.087024,36.780849,510.867873,0.007254
7899,0.865455,0.900000,0.720991,0.800000,478.700894,37.071558,515.772452,0.007380
7949,0.866323,1.000000,0.723088,1.000000,483.017755,37.354681,520.372436,0.007501
7999,0.864872,0.640000,0.720281,0.354376,489.336296,37.637523,526.973819,0.007677
8049,0.865605,0.980000,0.722174,0.953271,493.695343,37.924544,531.619887,0.007802
8099,0.865823,0.900000,0.723010,0.760077,498.017204,38.212366,536.229570,0.007927
8149,0.866415,0.960000,0.724115,0.908257,502.964390,38.505764,541.470154,0.008071
8199,0.866375,0.860000,0.723984,0.705882,507.596890,38.800156,546.397045,0.008208
8249,0.867081,0.980000,0.725466,0.959217,511.201341,39.092560,550.293901,0.008317
8299,0.867531,0.940000,0.726738,0.859813,516.214068,39.381472,555.595540,0.008466
8349,0.867853,0.920000,0.727600,0.836868,520.821851,39.667993,560.489845,0.008605
8399,0.867927,0.880000,0.727969,0.753695,524.854268,39.956707,564.810975,0.008729
8449,0.868121,0.900000,0.728681,0.768946,529.015018,40.244981,569.259999,0.008857
8499,0.867349,0.740000,0.727127,0.508321,534.475939,40.539280,575.015219,0.009025
8549,0.867545,0.900000,0.727544,0.796085,539.211441,40.832539,580.043980,0.009172
8599,0.867857,0.920000,0.728323,0.840000,543.925592,41.124557,585.050149,0.009321
8649,0.868402,0.960000,0.729663,0.915110,548.605076,41.413088,590.018163,0.009470
8699,0.868824,0.940000,0.730709,0.876442,553.158638,41.702620,594.861258,0.009616
8749,0.869123,0.920000,0.731487,0.836868,557.123117,41.995434,599.118551,0.009746
8799,0.869535,0.940000,0.732402,0.880000,561.787153,42.288603,604.075755,0.009899
8849,0.869711,0.900000,0.732969,0.787776,566.334917,42.582677,608.917594,0.010050
8899,0.870115,0.940000,0.734188,0.788732,570.144683,42.874199,613.018882,0.010178
